XGBRegressor:
Best: 0.901828 using {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 400}
-818.933104 (41.418259) 	with: {'learning_rate': 0.0001, 'max_depth': 2, 'n_estimators': 100}
-802.732350 (40.589182) 	with: {'learning_rate': 0.0001, 'max_depth': 2, 'n_estimators': 200}
-786.852087 (39.776610) 	with: {'learning_rate': 0.0001, 'max_depth': 2, 'n_estimators': 300}
-771.285978 (38.980213) 	with: {'learning_rate': 0.0001, 'max_depth': 2, 'n_estimators': 400}
-756.027798 (38.199678) 	with: {'learning_rate': 0.0001, 'max_depth': 2, 'n_estimators': 500}
-818.933104 (41.418259) 	with: {'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100}
-802.732350 (40.589182) 	with: {'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 200}
-786.852087 (39.776610) 	with: {'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 300}
-771.285978 (38.980213) 	with: {'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 400}
-756.027798 (38.199678) 	with: {'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 500}
-818.933104 (41.418259) 	with: {'learning_rate': 0.0001, 'max_depth': 4, 'n_estimators': 100}
-802.732350 (40.589182) 	with: {'learning_rate': 0.0001, 'max_depth': 4, 'n_estimators': 200}
-786.852087 (39.776610) 	with: {'learning_rate': 0.0001, 'max_depth': 4, 'n_estimators': 300}
-771.285978 (38.980213) 	with: {'learning_rate': 0.0001, 'max_depth': 4, 'n_estimators': 400}
-756.027798 (38.199678) 	with: {'learning_rate': 0.0001, 'max_depth': 4, 'n_estimators': 500}
-684.085445 (34.520924) 	with: {'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 100}
-560.137112 (28.189407) 	with: {'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 200}
-458.646449 (23.013062) 	with: {'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 300}
-375.547260 (18.795073) 	with: {'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 400}
-307.474577 (15.330497) 	with: {'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 500}
-684.085445 (34.520924) 	with: {'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}
-560.137112 (28.189407) 	with: {'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200}
-458.646449 (23.013062) 	with: {'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 300}
-375.547260 (18.795073) 	with: {'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 400}
-307.474577 (15.330497) 	with: {'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500}
-684.085445 (34.520924) 	with: {'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100}
-560.137112 (28.189407) 	with: {'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 200}
-458.646449 (23.013062) 	with: {'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 300}
-375.547260 (18.795073) 	with: {'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 400}
-307.474577 (15.330497) 	with: {'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 500}
-111.924645 (5.415764) 		with: {'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}
-14.460876 (0.658110) 		with: {'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200}
-1.249688 (0.066589) 		with: {'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 300}
0.559321 (0.001846) 		with: {'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 400}
0.816990 (0.010944) 		with: {'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}
-111.924645 (5.415764) 		with: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}
-14.459635 (0.659048) 		with: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}
-1.244082 (0.074983) 		with: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}
0.571631 (0.007984) 		with: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}
0.829777 (0.011979) 		with: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}
-111.924645 (5.415764) 		with: {'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}
-14.460505 (0.659432) 		with: {'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}
-1.247364 (0.075883) 		with: {'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}
0.572146 (0.011591) 		with: {'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 400}
0.833455 (0.013699) 		with: {'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}
0.885346 (0.013523) 		with: {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}
0.897814 (0.013670) 		with: {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}
0.900942 (0.014145) 		with: {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}
0.901828 (0.014331) 		with: {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 400}
0.901325 (0.014559) 		with: {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500}
0.890259 (0.014229) 		with: {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}
